"Date","Time","Location","Agency","Activity","+/-","Balance"
"11/9/2022","7:37pm","Line: 1-Line Northgate - Angle Lake, Stop: SeaTac/Airport Station","Sound Transit","Transfer","-$0.50","$9.50"
"11/9/2022","6:58pm","Line: 1-Line Northgate - Angle Lake, Stop: SeaTac/Airport Station","Sound Transit","Tap off, E-purse","$0.00","$10.00"
"11/9/2022","6:24pm","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Transfer","-$0.25","$10.00"
"11/9/2022","6:21pm","Line: 36 Othello Station - Beacon Hill - Downtown Seattle, Stop: S Jackson St & 12th Ave S","King County Metro","Transfer","$0.00","$10.25"
"11/9/2022","6:08pm","Line: 7 Prentice St - Rainier Beach - Downtown Seattle, Stop: S Jackson St & 5th Ave S","King County Metro","Transfer","$0.00","$10.25"
"11/9/2022","6:02pm","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Tap off, E-purse","+$0.50","$10.25"
"11/9/2022","5:43pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$9.75"
"11/8/2022","10:25am","Line: 45 Loyal Heights - University District, Stop: East Green Lake Dr N & 4th Ave NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$10.25"
"11/6/2022","4:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$10.25"
"11/6/2022","4:21pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$9.75"
"11/6/2022","4:21pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer, Transaction declined (110)","$0.00","$0.00"
"11/6/2022","3:49pm","Line: 44 Ballard - Montlake, Stop: 15th Ave NE & NE Campus Pkwy","King County Metro","Transfer","$0.00","$10.25"
"11/6/2022","3:40pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.50","$10.25"
"11/6/2022","3:40pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse, Transaction declined (110)","$0.00","$0.00"
"11/6/2022","3:36pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$9.75"
"11/4/2022","8:45pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$10.25"
"11/4/2022","8:36pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$9.75"
"11/4/2022","8:25pm","Line: 44 Ballard - Montlake, Stop: N 46th St & Aurora Ave N","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$10.25"
"11/4/2022","3:57pm","Line: 2 West Queen Anne - Downtown Seattle - Madrona Park, Stop: E Union St & Broadway","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$10.25"
"11/4/2022","1:48pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$10.25"
"11/4/2022","1:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$9.75"
"11/2/2022","7:42pm","Line: 45 Loyal Heights - University District, Stop: N 85th St & Greenwood Ave N","King County Metro","Transfer","$0.00","$10.25"
"11/2/2022","6:36pm","Line: 45 Loyal Heights - University District, Stop: NE 65th St & Oswego Pl NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$10.25"
"11/1/2022","10:20pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$10.25"
"11/1/2022","9:26pm","Line: 1-Line Northgate - Angle Lake, Stop: SeaTac/Airport Station","Sound Transit","Transfer","-$0.50","$10.00"
"11/1/2022","9:08pm","Line: 1-Line Northgate - Angle Lake, Stop: SeaTac/Airport Station","Sound Transit","Tap off, E-purse","$0.00","$10.50"
"11/1/2022","8:19pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Transfer","-$0.25","$10.50"
"11/1/2022","7:59pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$10.75"
"11/1/2022","7:39pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$10.25"
"10/30/2022","7:28pm","Line: 45 Loyal Heights - University District, Stop: N 85th St & 1st Ave NW","King County Metro","Transfer","$0.00","$10.75"
"10/30/2022","6:19pm","Line: 45 Loyal Heights - University District, Stop: NE 65th St & Oswego Pl NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$10.75"
"10/30/2022","3:02pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$10.75"
"10/30/2022","2:38pm","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Transfer","-$0.25","$10.50"
"10/30/2022","2:38pm","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Transfer, Transaction declined (110)","$0.00","$0.00"
"10/30/2022","12:57pm","Line: 36 Othello Station - Beacon Hill - Downtown Seattle, Stop: S Jackson St & 5th Ave S","King County Metro","Transfer","$0.00","$10.75"
"10/30/2022","12:56pm","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Tap off, E-purse","+$0.50","$10.75"
"10/30/2022","12:31pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$10.25"
"10/28/2022","2:49pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$10.75"
"10/28/2022","2:42pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$10.25"
"10/28/2022","11:43am","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$10.75"
"10/28/2022","11:30am","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer, Transaction declined (222)","$0.00","$0.00"
"10/28/2022","11:30am","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer, Transaction declined (222)","$0.00","$0.00"
"10/28/2022","11:30am","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer, Transaction declined (222)","$0.00","$0.00"
"10/28/2022","11:30am","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer, Transaction declined (222)","$0.00","$0.00"
"10/28/2022","11:30am","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer, Transaction declined (222)","$0.00","$0.00"
"10/28/2022","11:29am","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer, Transaction declined (222)","$0.00","$0.00"
"10/28/2022","11:25am","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$0.50","$11.25"
"10/28/2022","11:18am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$10.75"
"10/27/2022","4:04pm","Customer Mobile App","Regional","Pass loaded on card, PugetPass $2.75","$0.00","$0.00"
"10/27/2022","4:04pm","Customer Mobile App","Regional","E-purse purchase","-$99.00","$11.25"
"10/27/2022","4:02pm","Customer Mobile App","Regional","Money loaded on card","+$102.00","$110.25"
"10/26/2022","9:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$8.25"
"10/26/2022","9:17pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.25","$8.00"
"10/26/2022","7:07pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$8.25"
"10/26/2022","6:43pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Transfer","-$0.50","$7.75"
"10/26/2022","6:06pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$8.25"
"10/26/2022","5:54pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$7.75"
"10/26/2022","3:00pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.25","$8.25"
"10/26/2022","2:50pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.25","$8.00"
"10/26/2022","1:06pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$8.25"
"10/26/2022","12:46pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$7.75"
"10/25/2022","6:34pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$8.25"
"10/25/2022","6:01pm","Line: 1-Line Northgate - Angle Lake, Stop: Beacon Hill Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.25","$8.00"
"10/25/2022","4:12pm","Line: 1-Line Northgate - Angle Lake, Stop: Beacon Hill Station","Sound Transit","Tap off, E-purse","+$0.25","$8.25"
"10/25/2022","3:53pm","Line: 1-Line Northgate - Angle Lake, Stop: Rainier Beach Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.25","$8.00"
"10/25/2022","2:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Rainier Beach Station","Sound Transit","Tap off, E-purse","+$0.25","$8.25"
"10/25/2022","2:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Rainier Beach Station","Sound Transit","Tap off, E-purse, Transaction declined (110)","$0.00","$0.00"
"10/25/2022","1:50pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.00"
"10/23/2022","5:23pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","$0.00","$8.50"
"10/23/2022","4:15pm","Line: 1-Line Northgate - Angle Lake, Stop: Tukwila Int'l Blvd Station","Sound Transit","Tap off, E-purse, Transaction declined (222)","$0.00","$0.00"
"10/23/2022","3:50pm","Line: 1-Line Northgate - Angle Lake, Stop: Tukwila Int'l Blvd Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.50"
"10/23/2022","2:36pm","Line: 1-Line Northgate - Angle Lake, Stop: Rainier Beach Station","Sound Transit","Tap off, E-purse","+$0.25","$9.00"
"10/23/2022","1:52pm","Inspection App","Sound Transit","Inspection","$0.00","$0.00"
"10/23/2022","1:35pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/22/2022","8:44pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/22/2022","8:36pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/22/2022","8:14pm","Line: 48 Mt Baker - University District, Stop: 23rd Ave E & E Aloha St","King County Metro","Transfer","$0.00","$9.25"
"10/22/2022","6:29pm","Line: 10 Capitol Hill - Downtown Seattle, Stop: E John St & Broadway  E","King County Metro","Transfer","$0.00","$9.25"
"10/22/2022","6:25pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/22/2022","6:10pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/22/2022","4:00pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"10/22/2022","3:43pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Transfer","-$0.25","$9.00"
"10/22/2022","3:17pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/22/2022","2:54pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/21/2022","10:40pm","Line: 45 Loyal Heights - University District, Stop: N 85th St & Greenwood Ave N","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$9.25"
"10/19/2022","8:13pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/19/2022","7:56pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$8.75"
"10/19/2022","7:30pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"10/19/2022","7:16pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Transfer","-$0.25","$9.00"
"10/19/2022","7:15pm","Line: First Hill Streetcar Streetcar: Pioneer Square - Capitol Hill, Stop: Broadway - E Howell St","King County Metro","Transfer","$0.00","$9.25"
"10/19/2022","5:27pm","Line: 60 Westwood Village - Georgetown - Broadway, Stop: Broadway - E Denny Way","King County Metro","Transfer","$0.00","$9.25"
"10/19/2022","5:07pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/19/2022","4:46pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/19/2022","12:09pm","Line: 45 Loyal Heights - University District, Stop: University Way NE & NE Ravenna Blvd","King County Metro","Transfer","$0.00","$9.25"
"10/19/2022","11:01am","Line: 73 Jackson Park - Univ District, Stop: Roosevelt Station - Bay 5","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$9.25"
"10/18/2022","8:39pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/18/2022","8:31pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$8.75"
"10/18/2022","8:06pm","Line: 45 Loyal Heights - University District, Stop: Roosevelt Station - Bay 1","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$9.25"
"10/18/2022","4:23pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/18/2022","4:16pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$8.75"
"10/18/2022","3:39pm","Line: 32 Children's Hospital - Fremont -Seattle Center West, Stop: W Mercer St & 3rd Ave W","King County Metro","Transfer","$0.00","$9.25"
"10/18/2022","3:30pm","Line: D Line Blue Ridge/Crown Hill - Ballard - Downtown Seattle, Stop: W Mercer St & 3rd Ave W","King County Metro","Transfer","$0.00","$9.25"
"10/18/2022","2:59pm","Line: 1 Kinnear - Downtown Seattle, Stop: 3rd Ave & Pike St","King County Metro","Transfer","$0.00","$9.25"
"10/18/2022","2:51pm","Line: 1-Line Northgate - Angle Lake, Stop: Westlake Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/18/2022","2:31pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/17/2022","2:03pm","Line: 79 Greenlake - University District, Stop: U District Station - Bay 5","King County Metro","Transfer","$0.00","$9.25"
"10/17/2022","1:48pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/17/2022","1:42pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/16/2022","2:32pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"10/16/2022","1:58pm","Line: 1-Line Northgate - Angle Lake, Stop: Mount Baker Station","Sound Transit","Transfer","-$0.25","$9.00"
"10/16/2022","1:46pm","Line: 7 Prentice St - Rainier Beach - Downtown Seattle, Stop: Rainier Ave S & S Brandon St","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$9.25"
"10/16/2022","9:46am","","King County Metro","Use, Transaction declined (260)","$0.00","$0.00"
"10/16/2022","9:46am","","King County Metro","Use, Transaction declined (211)","$0.00","$0.00"
"10/16/2022","9:39am","Line: 1-Line Northgate - Angle Lake, Stop: Othello Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/16/2022","9:06am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/15/2022","4:03pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/15/2022","3:56pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$8.75"
"10/15/2022","3:56pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer, Transaction declined (110)","$0.00","$0.00"
"10/15/2022","3:24pm","Line: 44 Ballard - Montlake, Stop: U District Station - Bay 1","King County Metro","Transfer","$0.00","$9.25"
"10/15/2022","3:21pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/15/2022","3:14pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/14/2022","4:52pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.75","$9.25"
"10/14/2022","4:39pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer","-$0.75","$8.50"
"10/14/2022","4:25pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/14/2022","4:16pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/14/2022","11:43am","Line: 67 Northgate - Roosevelt - University District, Stop: Roosevelt Station - Bay 5","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$9.25"
"10/13/2022","2:17pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"10/13/2022","1:53pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.25","$9.00"
"10/13/2022","10:37am","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/13/2022","10:18am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$8.75"
"10/11/2022","8:57pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"10/11/2022","8:41pm","Line: 1-Line Northgate - Angle Lake, Stop: Westlake Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.25","$9.00"
"10/11/2022","5:16pm","Line: D Line Blue Ridge/Crown Hill - Ballard - Downtown Seattle, Stop: 15th Ave NW & NW Market St","King County Metro","Transfer","$0.00","$9.25"
"10/11/2022","4:36pm","Line: 17 Loyal Heights-Sunset Hill-Ballard-Downtown Seattle, Stop: 3rd Ave & Virginia St","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$9.25"
"10/11/2022","11:53am","Line: 1-Line Northgate - Angle Lake, Stop: Pioneer Square Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"10/11/2022","11:34am","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$8.75"
"10/11/2022","10:58am","Line: 67 Northgate - Roosevelt - University District, Stop: Roosevelt Station - Bay 5","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$9.25"
"10/9/2022","7:44pm","Line: 45 Loyal Heights - University District, Stop: University Way NE & NE 45th St","King County Metro","Transfer","$0.00","$16.00"
"10/9/2022","7:24pm","Line: 45 Loyal Heights - University District, Stop: Roosevelt Station - Bay 1","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$16.00"
"10/9/2022","5:08pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Transfer","$0.00","$5.75"
"10/9/2022","5:00pm","Line: 67 Northgate - Roosevelt - University District, Stop: 11th Ave NE & NE 45th St","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$16.00"
"10/9/2022","4:40pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$5.75"
"10/9/2022","4:28pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.25","$6.25"
"10/9/2022","4:15pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Transfer","-$0.25","$6.00"
"10/9/2022","3:57pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$6.25"
"10/9/2022","3:43pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$5.75"
"10/8/2022","8:45pm","Line: 45 Loyal Heights - University District, Stop: NE 45th St & University Village","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$16.00"
"10/8/2022","5:48pm","Line: 45 Loyal Heights - University District, Stop: Roosevelt Station - Bay 1","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$16.00"
"10/8/2022","4:03pm","Line: Woodinville - Seattle","Sound Transit","Transfer","$0.00","$16.00"
"10/8/2022","4:03pm","Line: Woodinville - Seattle","Sound Transit","Transfer, Transaction declined (110)","$0.00","$0.00"
"10/8/2022","2:28pm","Line: Woodinville - Seattle","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$16.00"
"10/7/2022","5:55pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","$0.00","$6.75"
"10/7/2022","5:07pm","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Transfer","$0.00","$6.75"
"10/7/2022","5:04pm","Line: S Line Seattle - Tacoma/Lakewood, Stop: King Street Station","Sound Transit","Tap off, E-purse","+$0.75","$6.75"
"10/7/2022","4:32pm","Line: S Line Seattle - Tacoma/Lakewood, Stop: Kent Station (Northbound)","Sound Transit","Tap off, E-purse, Transaction declined (222)","$0.00","$0.00"
"10/7/2022","4:30pm","Line: S Line Seattle - Tacoma/Lakewood, Stop: Kent Station (Northbound)","Sound Transit","Transfer","-$2.00","$6.00"
"10/7/2022","4:30pm","Line: S Line Seattle - Tacoma/Lakewood, Stop: Kent Station (Northbound)","Sound Transit","Transfer, Transaction declined (110)","$0.00","$0.00"
"10/7/2022","2:40pm","Line: 150 Kent Station - Southcenter - Downtown Seattle, Stop: SODO Busway & S Royal Brougham Way","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$16.50"
"10/7/2022","2:37pm","Line: 1-Line Northgate - Angle Lake, Stop: Stadium Station","Sound Transit","Tap off, E-purse","+$0.50","$8.00"
"10/7/2022","2:14pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$7.50"
"10/6/2022","9:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$8.00"
"10/6/2022","9:13pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.25","$7.75"
"10/6/2022","6:56pm","Line: First Hill Streetcar Streetcar: Pioneer Square - Capitol Hill, Stop: Broadway - E Howell St","King County Metro","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$16.50"
"10/6/2022","6:56pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$8.00"
"10/6/2022","6:38pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.50","$7.50"
"10/5/2022","8:59pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.75","$8.00"
"10/5/2022","8:50pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","-$0.75","$7.25"
"10/5/2022","8:50pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22, Transaction declined (110)","$0.00","$0.00"
"10/5/2022","8:02pm","","Community Transit","Use, Transaction declined (260)","$0.00","$0.00"
"10/5/2022","8:01pm","","Community Transit","Use, Transaction declined (260)","$0.00","$0.00"
"10/5/2022","8:01pm","","Community Transit","Use, Transaction declined (260)","$0.00","$0.00"
"10/5/2022","8:01pm","","Community Transit","Use, Transaction declined (260)","$0.00","$0.00"
"10/5/2022","8:01pm","","Community Transit","Use, Transaction declined (211)","$0.00","$0.00"
"10/5/2022","7:22pm","Line: 202 Smokey Point - Lynnwood, Stop: Smokey Point Transit Center Bay 1","Community Transit","Transfer","$0.00","$16.50"
"10/5/2022","6:31pm","Line: 240 Stanwood - Smokey Point, Stop: 271st St NW & 94th Dr NW","Community Transit","Boarding, PugetPass $2.75, Pass valid until 11/1/22","$0.00","$16.50"
